,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
104,heaven is here,0.0,0.1,0.1,0.29,0.29,0.24,Happy,Florence + the Machine
105,south london forever,0.0,0.11,0.18,0.21,0.18,0.32,Happy,Florence + the Machine
106,girl with one eye,0.0,0.09,0.0,0.34,0.41,0.16,Happy,Florence + the Machine
107,prayer factory,0.0099999999999999,0.08,0.15,0.31,0.23,0.23,Happy,Florence + the Machine
108,hurricane drunk,0.01,0.1,0.1,0.32,0.29,0.19,Happy,Florence + the Machine
109,never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Happy,Florence + the Machine
110,lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Happy,Florence + the Machine
111,what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Happy,Florence + the Machine
112,sky full of song,0.0199999999999999,0.07,0.23,0.33,0.1,0.27,Happy,Florence + the Machine
113,st jude,0.0,0.11,0.04,0.52,0.22,0.11,Happy,Florence + the Machine
114,daffodil,0.0099999999999999,0.15,0.1,0.5,0.2,0.05,Happy,Florence + the Machine
115,hunger,0.0,0.15,0.04,0.13,0.5,0.17,Happy,Florence + the Machine
116,bedroom hymns,0.0099999999999999,0.14,0.0,0.14,0.46,0.25,Happy,Florence + the Machine
117,what the water gave me,0.07,0.14,0.05,0.33,0.19,0.29,,Florence + the Machine
118,100 years,0.17,0.09,0.04,0.39,0.15,0.33,,Florence + the Machine
119,hurricane drunk,0.0999999999999999,0.1,0.1,0.32,0.29,0.19,,Florence + the Machine
120,heaven is here,0.13,0.1,0.1,0.29,0.29,0.24,,Florence + the Machine
121,rabbit heart (raise it up),0.1199999999999999,0.07,0.07,0.23,0.37,0.27,,Florence + the Machine
122,never let me go,0.16,0.15,0.05,0.2,0.27,0.34,,Florence + the Machine
123,lover to lover,0.0699999999999999,0.2,0.07,0.23,0.3,0.2,,Florence + the Machine
124,"no light, no light",0.26,0.19,0.2,0.24,0.24,0.13,,Florence + the Machine
125,prayer factory,0.11,0.08,0.15,0.31,0.23,0.23,,Florence + the Machine
126,big god,0.25,0.24,0.0,0.28,0.24,0.24,,Florence + the Machine
127,mermaids,0.27,0.32,0.08,0.19,0.19,0.22,,Florence + the Machine
128,only love can break your heart,0.2799999999999999,0.3,0.07,0.3,0.22,0.11,,Florence + the Machine
129,if i had a heart,0.1899999999999999,0.26,0.09,0.16,0.19,0.31,,Florence + the Machine
130,leave my body,0.01,0.02,0.06,0.33,0.27,0.31,Sad,Florence + the Machine
131,dream girl evil,0.01,0.06,0.03,0.31,0.46,0.14,Sad,Florence + the Machine
132,hurricane drunk,0.0,0.1,0.1,0.32,0.29,0.19,Sad,Florence + the Machine
133,only love can break your heart,0.0,0.3,0.07,0.3,0.22,0.11,Sad,Florence + the Machine
134,lover to lover,0.0,0.2,0.07,0.23,0.3,0.2,Sad,Florence + the Machine
135,never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Sad,Florence + the Machine
136,breaking down,0.0,0.07,0.04,0.21,0.5,0.18,Sad,Florence + the Machine
137,"no light, no light",0.0099999999999999,0.19,0.2,0.24,0.24,0.13,Sad,Florence + the Machine
138,"how big, how blue, how beautiful",0.0,0.21,0.09,0.3,0.17,0.23,Sad,Florence + the Machine
139,girls against god,0.0,0.07,0.2,0.24,0.31,0.18,Sad,Florence + the Machine
140,mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Sad,Florence + the Machine
141,south london forever,0.02,0.11,0.18,0.21,0.18,0.32,Sad,Florence + the Machine
142,if i had a heart,0.0199999999999999,0.26,0.09,0.16,0.19,0.31,Sad,Florence + the Machine
143,what the water gave me,0.0,0.14,0.05,0.33,0.19,0.29,Surprise,Florence + the Machine
144,if i had a heart,0.0,0.26,0.09,0.16,0.19,0.31,Surprise,Florence + the Machine
145,patricia,0.0,0.3,0.02,0.19,0.28,0.21,Surprise,Florence + the Machine
146,big god,0.01,0.24,0.0,0.28,0.24,0.24,Surprise,Florence + the Machine
147,never let me go,0.0,0.15,0.05,0.2,0.27,0.34,Surprise,Florence + the Machine
148,"no light, no light",0.0,0.19,0.2,0.24,0.24,0.13,Surprise,Florence + the Machine
149,flakes,0.01,0.16,0.23,0.13,0.26,0.23,Surprise,Florence + the Machine
150,st jude,0.0199999999999999,0.11,0.04,0.52,0.22,0.11,Surprise,Florence + the Machine
151,prayer factory,0.0,0.08,0.15,0.31,0.23,0.23,Surprise,Florence + the Machine
152,howl,0.03,0.13,0.0,0.4,0.27,0.2,Surprise,Florence + the Machine
153,ship to wreck,0.0,0.11,0.03,0.51,0.18,0.17,Surprise,Florence + the Machine
154,mermaids,0.0,0.32,0.08,0.19,0.19,0.22,Surprise,Florence + the Machine
