,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
631,innocent,0.01,0.18,0.09,0.33,0.22,0.18,Fear,Taylor Swift
632,how did it end?,0.0,0.17,0.04,0.33,0.25,0.21,Fear,Taylor Swift
633,the lucky one,0.0,0.59,0.0,0.12,0.12,0.16,Fear,Taylor Swift
634,fifteen,0.0,0.24,0.09,0.15,0.24,0.29,Fear,Taylor Swift
635,the great war,0.0,0.21,0.05,0.34,0.18,0.21,Fear,Taylor Swift
636,i can do it with a broken heart,0.01,0.15,0.09,0.31,0.27,0.18,Fear,Taylor Swift
637,fortnight,0.0,0.15,0.03,0.49,0.15,0.18,Fear,Taylor Swift
638,you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Fear,Taylor Swift
639,i think he knows,0.01,0.33,0.02,0.29,0.16,0.2,Fear,Taylor Swift
640,dancing with our hands tied,0.01,0.28,0.08,0.32,0.12,0.2,Fear,Taylor Swift
641,enchanted,0.0,0.33,0.06,0.14,0.27,0.2,Fear,Taylor Swift
642,lover,0.0,0.24,0.03,0.31,0.14,0.28,Happy,Taylor Swift
643,fortnight,0.0999999999999999,0.15,0.03,0.49,0.15,0.18,Happy,Taylor Swift
644,i can do it with a broken heart,0.0,0.15,0.09,0.31,0.27,0.18,Happy,Taylor Swift
645,the last great american dynasty,0.03,0.15,0.02,0.34,0.32,0.17,Happy,Taylor Swift
646,the story of us,0.0399999999999999,0.15,0.03,0.24,0.24,0.33,Happy,Taylor Swift
647,tim mcgraw,0.0,0.22,0.02,0.22,0.07,0.48,Happy,Taylor Swift
648,champagne problems,0.0399999999999999,0.15,0.02,0.31,0.08,0.44,Happy,Taylor Swift
649,the lakes,0.05,0.16,0.06,0.26,0.19,0.32,Happy,Taylor Swift
650,22,0.0,0.22,0.06,0.17,0.19,0.36,Happy,Taylor Swift
651,"no body, no crime",0.03,0.16,0.03,0.24,0.03,0.54,Happy,Taylor Swift
652,cowboy like me,0.01,0.23,0.05,0.14,0.21,0.37,Happy,Taylor Swift
653,how did it end?,0.06,0.17,0.04,0.33,0.25,0.21,Happy,Taylor Swift
654,starlight,0.0399999999999999,0.15,0.13,0.35,0.13,0.24,Happy,Taylor Swift
655,bejeweled,0.0099999999999999,0.15,0.0,0.32,0.19,0.34,Happy,Taylor Swift
656,blank space,0.03,0.17,0.05,0.18,0.31,0.29,Happy,Taylor Swift
657,karma (remix),0.15,0.23,0.05,0.27,0.18,0.27,,Taylor Swift
658,'tis the damn season,0.24,0.19,0.03,0.42,0.16,0.19,,Taylor Swift
659,the lakes,0.105,0.16,0.06,0.26,0.19,0.32,,Taylor Swift
660,starlight,0.1299999999999999,0.15,0.13,0.35,0.13,0.24,,Taylor Swift
661,ours,0.2399999999999999,0.21,0.08,0.3,0.17,0.24,,Taylor Swift
662,back to december,0.04,0.26,0.02,0.23,0.28,0.21,,Taylor Swift
663,the great war,0.26,0.21,0.05,0.34,0.18,0.21,,Taylor Swift
664,the story of us,0.145,0.15,0.03,0.24,0.24,0.33,,Taylor Swift
665,the best day,0.2,0.21,0.05,0.34,0.18,0.21,,Taylor Swift
666,i can do it with a broken heart,0.17,0.15,0.09,0.31,0.27,0.18,,Taylor Swift
667,vigilante shit,0.14,0.23,0.06,0.23,0.26,0.23,,Taylor Swift
668,innocent,0.19,0.18,0.09,0.33,0.22,0.18,,Taylor Swift
669,coney island,0.23,0.19,0.07,0.35,0.16,0.23,,Taylor Swift
670,how did it end?,0.12,0.17,0.04,0.33,0.25,0.21,,Taylor Swift
671,gold rush,0.1799999999999999,0.26,0.08,0.19,0.28,0.19,,Taylor Swift
672,tim mcgraw,0.0,0.22,0.02,0.22,0.07,0.48,Sad,Taylor Swift
673,peter,0.0,0.18,0.12,0.44,0.15,0.12,Sad,Taylor Swift
674,the lakes,0.0,0.16,0.06,0.26,0.19,0.32,Sad,Taylor Swift
675,i can do it with a broken heart,0.0,0.15,0.09,0.31,0.27,0.18,Sad,Taylor Swift
676,invisible,0.0,0.32,0.0,0.28,0.16,0.24,Sad,Taylor Swift
677,vigilante shit,0.0,0.23,0.06,0.23,0.26,0.23,Sad,Taylor Swift
678,question...?,0.0099999999999999,0.2,0.07,0.29,0.1,0.34,Sad,Taylor Swift
679,the way you love me,0.0,0.47,0.03,0.22,0.21,0.07,Sad,Taylor Swift
680,you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Sad,Taylor Swift
681,down bad,0.0,0.5,0.1,0.25,0.0,0.15,Sad,Taylor Swift
682,call it what you want,0.0,0.18,0.06,0.24,0.09,0.42,Sad,Taylor Swift
683,love story,0.0,0.26,0.15,0.24,0.21,0.15,Sad,Taylor Swift
684,cruel summer,0.0,0.24,0.03,0.26,0.29,0.18,Sad,Taylor Swift
685,i think he knows,0.0,0.33,0.02,0.29,0.16,0.2,Sad,Taylor Swift
686,gold rush,0.0,0.26,0.08,0.19,0.28,0.19,Sad,Taylor Swift
687,ours,0.0,0.21,0.08,0.3,0.17,0.24,Surprise,Taylor Swift
688,the best day,0.01,0.21,0.05,0.34,0.18,0.21,Surprise,Taylor Swift
689,the way you love me,0.0,0.47,0.03,0.22,0.21,0.07,Surprise,Taylor Swift
690,starlight,0.0,0.15,0.13,0.35,0.13,0.24,Surprise,Taylor Swift
691,you belong with me,0.0,0.44,0.04,0.22,0.11,0.18,Surprise,Taylor Swift
692,labyrinth,0.0,0.42,0.0,0.14,0.28,0.16,Surprise,Taylor Swift
693,fortnight,0.0,0.15,0.03,0.49,0.15,0.18,Surprise,Taylor Swift
694,fifteen,0.0,0.24,0.09,0.15,0.24,0.29,Surprise,Taylor Swift
695,fresh out the slammer,0.0,0.26,0.04,0.22,0.11,0.37,Surprise,Taylor Swift
696,love story,0.0,0.26,0.15,0.24,0.21,0.15,Surprise,Taylor Swift
697,the lakes,0.0,0.16,0.06,0.26,0.19,0.32,Surprise,Taylor Swift
698,innocent,0.01,0.18,0.09,0.33,0.22,0.18,Surprise,Taylor Swift
699,lover,0.0099999999999999,0.24,0.03,0.31,0.14,0.28,Surprise,Taylor Swift
700,the story of us,0.0199999999999999,0.15,0.03,0.24,0.24,0.33,Surprise,Taylor Swift
701,tolerate it,0.0,0.23,0.14,0.19,0.3,0.14,Surprise,Taylor Swift
702,young liars,0.0,0.07,0.1,0.33,0.2,0.3,Angry,TV on the Radio
703,hours,0.0,0.14,0.09,0.27,0.23,0.27,Angry,TV on the Radio
704,dancing choose,0.0,0.08,0.14,0.08,0.29,0.41,Angry,TV on the Radio
705,wash the day,0.0,0.12,0.16,0.29,0.08,0.35,Angry,TV on the Radio
706,dry drunk emperor,0.01,0.12,0.14,0.4,0.1,0.24,Angry,TV on the Radio
707,red dress,0.0,0.11,0.11,0.25,0.19,0.34,Angry,TV on the Radio
708,lover's day,0.0,0.12,0.11,0.41,0.16,0.2,Angry,TV on the Radio
709,could you,0.0,0.24,0.12,0.22,0.14,0.27,Angry,TV on the Radio
710,tonight,0.0099999999999999,0.31,0.1,0.21,0.17,0.21,Angry,TV on the Radio
711,killer crane,0.0099999999999999,0.12,0.12,0.24,0.24,0.27,Angry,TV on the Radio
712,dlz,0.0,0.12,0.08,0.21,0.23,0.37,Angry,TV on the Radio
713,let the devil in,0.0,0.11,0.08,0.19,0.47,0.14,Angry,TV on the Radio
714,young liars,0.0,0.07,0.1,0.33,0.2,0.3,Fear,TV on the Radio
715,the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Fear,TV on the Radio
716,halfway home,0.01,0.03,0.13,0.3,0.27,0.27,Fear,TV on the Radio
717,dreams,0.005,0.15,0.07,0.3,0.15,0.33,Fear,TV on the Radio
718,could you,0.0,0.24,0.12,0.22,0.14,0.27,Fear,TV on the Radio
719,hours,0.0,0.14,0.09,0.27,0.23,0.27,Fear,TV on the Radio
720,crying,0.01,0.04,0.25,0.21,0.21,0.29,Fear,TV on the Radio
721,test pilot,0.0199999999999999,0.25,0.0,0.25,0.22,0.28,Fear,TV on the Radio
722,wear you out,0.0,0.08,0.05,0.23,0.31,0.33,Fear,TV on the Radio
723,red dress,0.0,0.11,0.11,0.25,0.19,0.34,Fear,TV on the Radio
724,dlz,0.0,0.12,0.08,0.21,0.23,0.37,Fear,TV on the Radio
725,happy idiot,0.0199999999999999,0.14,0.19,0.19,0.14,0.35,Fear,TV on the Radio
726,young liars,0.0,0.07,0.1,0.33,0.2,0.3,Happy,TV on the Radio
727,the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Happy,TV on the Radio
728,dancing choose,0.0049999999999999,0.08,0.14,0.08,0.29,0.41,Happy,TV on the Radio
729,second song,0.0,0.14,0.17,0.34,0.0,0.34,Happy,TV on the Radio
730,i was a lover,0.0,0.11,0.0,0.43,0.14,0.32,Happy,TV on the Radio
731,wolf like me,0.0,0.1,0.08,0.25,0.35,0.21,Happy,TV on the Radio
732,love stained,0.0,0.1,0.08,0.37,0.2,0.24,Happy,TV on the Radio
733,trouble,0.0,0.09,0.07,0.47,0.24,0.13,Happy,TV on the Radio
734,stork & owl,0.005,0.09,0.09,0.38,0.06,0.38,Happy,TV on the Radio
735,wear you out,0.0099999999999999,0.08,0.05,0.23,0.31,0.33,Happy,TV on the Radio
736,repetition,0.0099999999999999,0.07,0.05,0.12,0.27,0.49,Happy,TV on the Radio
737,let the devil in,0.0099999999999999,0.11,0.08,0.19,0.47,0.14,Happy,TV on the Radio
738,young liars,0.0,0.07,0.1,0.33,0.2,0.3,,TV on the Radio
739,the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,,TV on the Radio
740,killer crane,0.125,0.12,0.12,0.24,0.24,0.27,,TV on the Radio
741,happy idiot,0.0549999999999999,0.14,0.19,0.19,0.14,0.35,,TV on the Radio
742,red dress,0.135,0.11,0.11,0.25,0.19,0.34,,TV on the Radio
743,hours,0.12,0.14,0.09,0.27,0.23,0.27,,TV on the Radio
744,blues from down here,0.16,0.04,0.16,0.27,0.2,0.33,,TV on the Radio
745,dlz,0.21,0.12,0.08,0.21,0.23,0.37,,TV on the Radio
746,dreams,0.1949999999999999,0.15,0.07,0.3,0.15,0.33,,TV on the Radio
747,wear you out,0.2,0.08,0.05,0.23,0.31,0.33,,TV on the Radio
748,right now,0.1999999999999999,0.12,0.0,0.23,0.23,0.42,,TV on the Radio
749,wolf like me,0.24,0.1,0.08,0.25,0.35,0.21,,TV on the Radio
750,young liars,0.0,0.07,0.1,0.33,0.2,0.3,Sad,TV on the Radio
751,the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Sad,TV on the Radio
752,forgotten,0.0,0.35,0.1,0.19,0.06,0.29,Sad,TV on the Radio
753,dlz,0.0099999999999999,0.12,0.08,0.21,0.23,0.37,Sad,TV on the Radio
754,could you,0.0,0.24,0.12,0.22,0.14,0.27,Sad,TV on the Radio
755,test pilot,0.0,0.25,0.0,0.25,0.22,0.28,Sad,TV on the Radio
756,wolf like me,0.0,0.1,0.08,0.25,0.35,0.21,Sad,TV on the Radio
757,red dress,0.0,0.11,0.11,0.25,0.19,0.34,Sad,TV on the Radio
758,killer crane,0.01,0.12,0.12,0.24,0.24,0.27,Sad,TV on the Radio
759,tonight,0.01,0.31,0.1,0.21,0.17,0.21,Sad,TV on the Radio
760,right now,0.01,0.12,0.0,0.23,0.23,0.42,Sad,TV on the Radio
761,wear you out,0.01,0.08,0.05,0.23,0.31,0.33,Sad,TV on the Radio
762,love stained,0.0,0.1,0.08,0.37,0.2,0.24,Surprise,TV on the Radio
763,the wrong way,0.0,0.03,0.09,0.29,0.34,0.26,Surprise,TV on the Radio
764,killer crane,0.0,0.12,0.12,0.24,0.24,0.27,Surprise,TV on the Radio
765,could you,0.0,0.24,0.12,0.22,0.14,0.27,Surprise,TV on the Radio
766,tonight,0.0049999999999999,0.31,0.1,0.21,0.17,0.21,Surprise,TV on the Radio
767,red dress,0.0,0.11,0.11,0.25,0.19,0.34,Surprise,TV on the Radio
768,young liars,0.0,0.07,0.1,0.33,0.2,0.3,Surprise,TV on the Radio
769,blues from down here,0.0,0.04,0.16,0.27,0.2,0.33,Surprise,TV on the Radio
770,crying,0.0099999999999999,0.04,0.25,0.21,0.21,0.29,Surprise,TV on the Radio
771,right now,0.03,0.12,0.0,0.23,0.23,0.42,Surprise,TV on the Radio
772,ambulance,0.0,0.25,0.05,0.25,0.25,0.2,Surprise,TV on the Radio
773,a method,0.0,0.06,0.21,0.24,0.26,0.24,Surprise,TV on the Radio
