artist,title,lyrics
Tame Impala,Love/Paranoia,"48 ContributorsTranslationsEspañolLove/Paranoia Lyrics[Verse 1]
I may not be as honest as I ought to be
Now that, when the walls go up
I said it didn't worry me but it hit me like an arrow
Babe, to know, I could just be paranoid
Won't quell the desire to know what was really going on
""Does it really fucking matter, babe?"" is all you can ask me
Okay, fair play, here we go

[Verse 2]
I've heard those words before
Are you sure it was nothing
'Cause it made me feel like dying inside
Never thought I was insecure, but it's pure
Didn't notice until I was in love for real
Am I really gonna cross the line
Just to find what you're typing?
If only I could read your mind
Ooh, I'd be fine, I'd be normal
But now’s my time, gonna do it

[Verse 3]
And suddenly I'm the phony one
The only one with a problem
True love is bringing it out of me
The worst in me, and I know now
Do you remember the time we were
The time we were by the ocean?
I didn't care if it was day or night
The world was right where I wanted
You might also like[Outro]
Girl, I'm sorry
Babe, I'm really, really sorry50Embed"
Tame Impala,Lost In Yesterday,"67 ContributorsTranslationsEspañolPortuguêsLost In Yesterday Lyrics[Verse 1]
When we were livin' in squalor, wasn't it Heaven?
Back when we used to get on it four out of seven
Now even though that was a time I hated from day one
Eventually, terrible memories turn into great ones

[Pre-Chorus]
So if they call you, embrace them
If they hold you, erase them

[Chorus]
'Cause it might've been somethin', who's to say?
Does it help to get lost in yesterday?
And you might've missed somethin', don't say
'Cause it has to be lost in yesterday
And you're gonna have to let it go someday
You've been diggin' it up like Groundhog Day
'Cause it might've been somethin', don't say
'Cause it has to be lost in yesterday

[Verse 2]
Matty said life didn't go the way that he planned it
Said, ""Oh, what I'd give to start over, boy, I'd command it
So, what was I ever afraid of? Why did I worry?
And why was I ever so brainless? Head in a flurry""
You might also like[Pre-Chorus]
'Cause if they call you, embrace them
If they stall you, erase them

[Chorus]
'Cause it might've been somethin', who's to say?
Does it help to get lost in yesterday?
And you might've missed somethin', don't say
'Cause it has to be lost in yesterday
And you're gonna have to let it go someday
You've been diggin' it up like Groundhog Day
'Cause it might've been somethin', don't say
'Cause it has to get lost in yesterday

[Refrain]
If it calls you, embrace it
If it haunts you, face it

[Bridge]
I know it's mad, I understand
It's only Snakes and Ladders
The myriad you never had
There's only one that matters

[Outro]
And if it calls you, embrace it
If it holds you, erase it
Replace it16Embed"
Tame Impala,The Moment,"57 ContributorsTranslationsEspañolThe Moment Lyrics[Verse 1]
In the end, it's stronger than I know how to be
And I can't just spend my whole lifetime wondering
I fell in love with the sound of my heels on the wooden floor
I don't want my footsteps to be silent anymore

[Refrain]
Want them to be in the moment
Storm clouds are closing

[Verse 2]
In the end, it's coming, there's nothing left to do
But I'm still not certain, just how I'm gonna feel

[Refrain]
I'll only know in the moment (Ooh)
Anticipation growing (Ooh)

[Chorus]
It's getting closer
Ooh, it's getting closer
It's getting closer (I'm not ready)
Ooh, it's getting closer (I need a little more time)

[Instrumental Bridge]
You might also like[Chorus]
It's getting closer (Closer, every day, don't cry, we'll be okay)
Ooh, it's getting closer (Closer, wall of the dam, hold on and breathe if you can)
It's getting closer (Closer; I'm not ready)
Ooh, it's getting closer (Closer; breathe if you can; I need a little more time)
It's getting closer (Closer; I'm not ready)
It's getting closer (Closer; I need a little more time)

[Outro]
It's getting closer
Ooh, it's getting closer52Embed"
Tame Impala,Elephant,"66 ContributorsElephant Lyrics[Verse 1]
Well, he feels like an elephant
Shaking his big grey trunk for the hell of it
He knows that you're dreamin' about being loved by him
Too bad your chances are slim
And it's not like Mr. Shuck
To get shy when they ask him who is on top
There must be something deep down in the dark down there
But he's not too easily scared
He's got friends but they got the fear
Wouldn't care too much if he just disappeared
Oh look, hey, there he is now coming down the stairs
(Here he comes)

[Instrumental Break]

[Verse 2]
He pulled the mirrors off his Cadillac (Yeah)
'Cause he doesn't like it looking like he looks back
He talks like his opinion is a simple fact
Somebody grabbed his collar
He cried the whole way home
No one remembered a thing when they saw him again
That's how it is 'til the end (Yeah)You might also like41Embed"
Tame Impala,Breathe Deeper,"101 ContributorsTranslationsTame Impala - Breathe Deeper (Tradução em Português)EspañolBreathe Deeper Lyrics[Verse 1]
If you think I couldn't hold my own, believe me, I can
Believe me, I can, believe me, I can
If it ain't so awful and we're all together, I can
Believe me, I can, believe me, I can
If you think I couldn't roll with you, believe me, I can
Believe me, I can, believe me, I can
If ideally we should feel like this forever, I can
Believe me, I can, believe me, I can

[Chorus]
(And she said) Seems you're coming on
Breathe a little deeper
Should you need to come undone
And let those colours run
(And she said) Now you're having fun
So do this and get through this
And come find me when you're done
So we can be as one

[Verse 2]
If you think I couldn't hold my own, believe me, I can
Believe me, I can, believe me, I can
If you need someone to tell you that you're special, I can
Believe me, I can, believe me, I can
If you need someone to carry on, believe me, I can
Believe me, I can, believe me, I can
If you think no one is feeling what you're feeling, I am
Believe me, I am, believe me, I am
You might also like[Bridge]
And the groove is low

[Chorus]
(And she said) Seems you're coming on
Breathe a little deeper
Should you need to come undone
And let those colours run
Now you're having fun
So do this and get through this (And the groove is low)
And come find me when you're done
So we can be as one

[Refrain]
Telemona
Telemona, oh
And the groove is low
Telemona
And the groove is low

[Chorus]
Seems you're coming on
Breathe a little deeper
Should you need to come undone (Telemona)
And let those colours run
Now you're having fun (Telemona)
Do this and get through this
And until we see the sun (And the groove is low)
You're my number one
[Refrain]
Telemona
(And she said)
And the groove is low
Telemona
And the groove is low

[Outro]
We're both adults while we behave like children
Long as we got enough to keep on living
Telemona
Telemona23Embed"
Tame Impala,Past Life,"52 ContributorsTranslationsEspañolPast Life Lyrics[Intro]
I was picking up a suit from the dry cleaners
Which is standard for me, Thursday, 12:30
I've got a pretty solid routine these days
I don't know, it just works for me
Anyway, I was leaving, I was getting in my car
And I went to adjust the rear-view mirror
But, in its reflection, just for a second
I saw a figure, started to trigger
Memories flooded back, stopped me in my tracks
""Who was that?"" It was my lover
A lover from a past life

[Chorus]
From a past life
Feel like I saw a ghost
From a past life
So unexpected
From a past life
I was transfixed
From a past life

[Interlude]
Well, somewhere between a lover and a friend
It was different back then
Surreal, poetic but uncertain
Like a bizarre chick-flick with a confusing end
But I shut it down, closed it off
The sounds and smells I made myself forget
A cheap solution to black out regret
But it was real, it just feels like a past life
You might also like[Chorus]
From a past life
Crazy
From a past life
It takes a lot to trip me out
(I always wondered if you wanted my love)
For the first time in a long time
(I always wondered if you wanted my love)

[Interlude]
So I go about my day as normal
But I can't seem to pass it off as just a random event
It consumes me
I thought I was moving on, but I guess I was just switching off
And now I see my life as the banal slog it instantly became
And I don't know if I can go on the same
But I don't wanna dig up old bones
I mean, I don't even know if she has the same phone number
Who knows? Maybe she does

[Chorus]
From a past life
I guess there's no harm in trying
From a past life
What's the worst that could happen?
(I always wondered if you wanted my love)
For the first time
In a long time
(I tried to say it but it never came out right)
Past life
From a past life
(You're not a stranger if you're always on my mind)
For the first time
(I know it's late, it just didn't feel right)
In a long time
[Outro]
Hello?23Embed"
Tame Impala,Mind Mischief,"54 ContributorsMind Mischief Lyrics[Chorus]
Feels like my life is ready to blow
Me and my love, we'll take it slow
I hope she knows that I'll love her long
I just don't know where the hell I belong (No, no)

[Verse 1]
How optimism led me astray
Two hundred things I took the wrong way
But I saw her love gauge runnin' low
I tried to fill but it overflowed

[Chorus]
Feels like my life is ready to blow
Me and my lover taking it slow
I hope she knows that I'll love her long
I just don't know where the hell I belong

[Verse 2]
She remembers my name
Could be blown way out
It's all going to change
She remembers my name

[Bridge]
But she was only messing around
Please, no more playing with my heart
Ooh, go Mr. Right just for once
(Then it all just came out)
Ooh, no more mischief with my mind
(Guess I'll hold in, next time...)
You might also like[Verse 3]
No more gettin' it wrong
I'll be frozen, here on
If forever, we'll see
No more guessin' for me

[Outro]
Oh, I was just so sure of everything
Oh, that's what you get for dreamin' aloud
(Then it all just came out)
(Guess I'll hold in, now on)
(If forever, we'll see)
Oh, the day that words are clearer for me
(But no more guessing for me)45Embed"
Tame Impala,It Might Be Time,"57 ContributorsTranslationsItalianoEspañolPortuguêsIt Might Be Time Lyrics[Verse 1]
Something doesn't feel right
That's enough for one night
Hope y'all get home alright
There I go, blamin' on the weather

[Pre-Chorus 1]
But hey, there's nothin' wrong
I'm only tired of all these voices
Always sayin' nothing lasts forever

[Chorus]
It might be time to face it
It ain't as fun as it used to be, no
You're goin' under
You ain't as young as you used to be
It might be time to face it
You ain't as cool as you used to be, no
You won't recover
You ain't as young as you used to be

[Post-Chorus]
It might be time to face it
It might be time to face it

[Verse 2]
I've been lost before
So tell me it's not over
'Cause I finally got somethin' goin'
And suddenly
All my friends are growin' up
And movin' on
I must be missin' somethin'
You might also like[Pre-Chorus 2]
'Cause I just wanna keep this dream alive for now
Don't they know nothin' lasts forever?

[Chorus]
It might be time to face it
Nobody knows what you've come here for, no
You're goin' under
They roll their eyes when you're at the door

[Post-Chorus]
It might be time
It might be time to face it (Yeah)
You may as well embrace it

[Bridge]
We promise to come visit (Yeah)
It might be time

[Chorus]
It might be time to face it (Yeah)
You ain't as fun as you used to be
You won't recover
You ain't as cool as you used to be

[Post-Chorus]
It might be time to face it
It might be time to face it22Embed"
Tame Impala,Is It True,"72 ContributorsTranslationsEspañolIs It True Lyrics[Verse 1]
We were hangin' in the morning
Feelin' all different kinds of things
We were talkin' about everything
From the past to the happenin'
We started talkin' 'bout devotion
The kind that goes on eternally
And I tell her I'm in love with her
But how can I know that I'll always be?

[Chorus]
She just said, ""Is it true? Is it true? Tell me now""
That's a promise I can't make and I won't validate
Was I in some kind of mood? I don't know, I don't care
Now I'm sleeping in my room, here I am, back again
She's in my

[Verse 2]
I was happy just listening
No intention to be mentioning
We started talkin' 'bout the future
Not the notion I was motioning
I'm just so terrified to face up
Like any moment I might wake up
'Cause she's the only thing I think of
I told my mother that I love her
You might also like[Chorus]
She just said, ""Is it true? Is it true? Tell me now""
That's a promise I can't make and I won't validate
Was I being immature? I don't know, I don't care
Now I'm sleeping in my room, here I am, back again
She's in my—
In my—

[Outro]
I said, ""We'll see, we'll see"" (In my—)
We'll see
Ah, we'll see
We'll see
We'll see, we'll see, we'll see
See how we go
Until we know what the future holds
Ah, we'll see
We'll see
We'll see, we'll see, we'll see17Embed"
Tame Impala,Patience,"73 ContributorsPatience Lyrics[Verse]
Has it really been that long?
Did I count the days wrong?
Did we just go 'round and 'round
All the way to step one?

[Pre-Chorus]
They would ask me all the time
Every time the show's up
""So what you doin' with your life?""
It ain't givin' up

[Chorus]
Just growin' up in stages
(Lay down, low down)
Livin' life in phases
Another season changes
And still, my days are shapeless

[Post-Chorus]
It's always drive straight, don't be late
'Cause time waits for no one
I should be flying straight, with no delay
'Cause time takes from everyone

[Bridge]
I'm just laying here
Waiting for a change to come
Take us to the place
Takin' us where we would have gone
You might also like[Pre-Chorus]
They would ask me all the time
Showin' up in ages
""So what you doin' with your life?""
Call it givin' up

[Chorus]
I'm just growin' up in stages
(Lay down, low down)
Livin' life in phases
Another season changes
And still, my ways are aimless, I know
We're growin' up in stages
And I'm runnin' out of patience
Growin' up

[Outro]
It's always drive straight, don't be late
'Cause time waits for no one
I should be flying straight, with no delay
'Cause time takes from everyone29Embed"
Tame Impala,Disciples,"51 ContributorsTranslationsPortuguêsEspañolDisciples Lyrics[Verse 1]
'Cause I was still unsure
But it's something I'm used to
And I could tell it by your face
No one's ever been rude to you
When I could tell you things
That I can't say to anyone
And you came 'round today
But you didn't stay very long

[Chorus]
Now it's like the world owes you
Walking around like everybody should know you
I wanna be like we used to
But now you're worried whose audience will lose you

[Verse 2]
And I had no idea
What that feeling could do to you
And I could tell you've changed
By the people around you
I used to take the long way
Just so I could walk past your door
I used to wait outside
But I guess I won't anymore
You might also like[Outro]
There's so much I wanna tell you
So long, I wanna be there15Embed"
Tame Impala,Nangs,"43 ContributorsTranslationsPortuguêsEspañolNangs Lyrics[Interlude]
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?You might also like14Embed"
Tame Impala,One More Hour,"78 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoOne More Hour Lyrics[Verse 1]
Just a moment
Right before all the song and dance
Wasn't brave enough to tell you
But there ain't gonna be another chance
It's not long until (All that I have)
And everything's still (One more hour)
Minutes are racing, whatever I've done
I did it for love (All that I have)
I did it for fun (One more hour)
Couldn't get enough (All that I have)
I did it for fame (One more hour)
But never for money
Not for houses, not for her
Not for my future children
Until now

[Verse 2]
How could I love again?
How could I ever ask for more?
And to the road ahead
Into a life I can't ignore
(Lose her) How could I love again?
(Move on) How can I walk this path for sure?
(Lose her) With no more time to spare
(Move on) I know the answer more and more
You might also like[Chorus]
As long as I can, long as I can
Spend some time alone
As long as I can, long as I can
Be the man I am

[Bridge]
Ooh, life is strange
For one more hour
I can rage
For one more hour

[Chorus]
As long as I can (Lose her), as long as I can (Move on)
Spend some time alone
As long as I can (Lose her), as long as I can (Move on)
Remember who I am
As long as I can (Lose her), as long as I can (Move on)
Spend some time alone
As long as I can (How could I love again?), as long as I can
Be the man I am

[Outro]
Just a minute, fella, right before you go out there
All your voices said you wouldn't last a minute bare
One more hour and you'll know your life is one to share
Just a minute, baby, right before we go from here
All those people said we wouldn't last a minute near
I'm with you and I could roll into another year
Just a minute, fella, right before you go out there
All your voices said you wouldn't last a minute bare
One more hour and you'll know your life is one to share
Just a minute, baby, right before we go from here
All those people said we wouldn't last a minute near
I'm with you and I could roll into another year
Just a minute, fella, right before you go out there
All your voices said you wouldn't last a minute bare22Embed"
