name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
Kenneth,0.03,0.03,0.5,0.25,0.19,0.825,4,None,Little Dragon,
Wink,0.05,0.25,0.1,0.3,0.3,0.17,5,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.19,5,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.2,5,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.23,5,None,Little Dragon,
Please Turn,0.1,0.38,0.1,0.14,0.29,0.28,5,None,Little Dragon,
Peace,0,0.43,0,0.29,0.29,0.3,5,None,Little Dragon,
Another Lover,0.26,0.3,0,0.19,0.26,0.34,5,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.35,5,None,Little Dragon,
Should I,0.09,0.45,0.09,0.23,0.14,0.39,5,None,Little Dragon,
Test,0,0.33,0.05,0.48,0.14,0.49,5,None,Little Dragon,
Cat Rider,0.16,0.38,0.05,0.19,0.22,0.22,6,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.23,6,None,Little Dragon,
Please Turn,0.1,0.38,0.1,0.14,0.29,0.23,6,None,Little Dragon,
Gold,0.17,0.34,0,0.27,0.22,0.3,6,None,Little Dragon,
Summertearz,0.15,0.35,0.2,0.1,0.2,0.32,6,None,Little Dragon,
Frisco,0.02,0.32,0.11,0.15,0.4,0.32,6,None,Little Dragon,
Another Lover,0.26,0.3,0,0.19,0.26,0.37,6,None,Little Dragon,
High,0.03,0.47,0,0.13,0.37,0.38,6,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.4,6,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.42,6,None,Little Dragon,
Constant Surprises,0.05,0.34,0.02,0.05,0.54,0.46,6,None,Little Dragon,
Little Man,0.08,0.36,0,0.44,0.12,0.48,6,None,Little Dragon,
Turn Left,0.11,0.21,0.05,0.11,0.53,0.53,6,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.62,6,None,Little Dragon,
Swimming,0.1,0.14,0.03,0.14,0.59,0.62,6,None,Little Dragon,
Forever,0.08,0.36,0.03,0.53,0,0.66,6,None,Little Dragon,
Sweet,0.56,0.28,0,0.16,0,0.82,6,None,Little Dragon,
Gold,0.17,0.34,0,0.27,0.22,0.18,7,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.23,7,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.28,7,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.28,7,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.3,7,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.32,7,None,Little Dragon,
Should I,0.09,0.45,0.09,0.23,0.14,0.32,7,None,Little Dragon,
Strobe Light,0.14,0.27,0.19,0.3,0.11,0.33,7,None,Little Dragon,
Nightlight,0.13,0.48,0,0.22,0.17,0.36,7,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.4,7,None,Little Dragon,
Easy Falling,0.14,0.29,0.1,0.43,0.05,0.41,7,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.47,7,None,Little Dragon,
A New,0.14,0.29,0.29,0.29,0,0.51,7,None,Little Dragon,
Let Go,0.15,0.3,0.1,0.05,0.4,0.52,7,None,Little Dragon,
New Fiction,0.15,0.03,0.03,0.58,0.21,0.64,7,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.26,8,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.2600001,8,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.27,8,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.28,8,None,Little Dragon,
Strobe Light,0.14,0.27,0.19,0.3,0.11,0.29,8,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.36,8,None,Little Dragon,
Easy Falling,0.14,0.29,0.1,0.43,0.05,0.37,8,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.38,8,None,Little Dragon,
Nightlight,0.13,0.48,0,0.22,0.17,0.38,8,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.38,8,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.43,8,None,Little Dragon,
A New,0.14,0.29,0.29,0.29,0,0.49,8,None,Little Dragon,
Never Never,0.33,0.33,0,0.33,0,0.55,8,None,Little Dragon,
Let Go,0.15,0.3,0.1,0.05,0.4,0.56,8,None,Little Dragon,
New Fiction,0.15,0.03,0.03,0.58,0.21,0.62,8,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.25,9,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.29,9,None,Little Dragon,
Strobe Light,0.14,0.27,0.19,0.3,0.11,0.3,9,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.32,9,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.33,9,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.33,9,None,Little Dragon,
Easy Falling,0.14,0.29,0.1,0.43,0.05,0.36,9,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.38,9,None,Little Dragon,
Nightlight,0.13,0.48,0,0.22,0.17,0.43,9,None,Little Dragon,
A New,0.14,0.29,0.29,0.29,0,0.54,9,None,Little Dragon,
New Fiction,0.15,0.03,0.03,0.58,0.21,0.57,9,None,Little Dragon,
Let Go,0.15,0.3,0.1,0.05,0.4,0.61,9,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.25,10,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.29,10,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.3,10,None,Little Dragon,
Only One,0,0.17,0.08,0.33,0.42,0.33,10,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.37,10,None,Little Dragon,
Please Turn,0.1,0.38,0.1,0.14,0.29,0.5,10,None,Little Dragon,
Turn Left,0.11,0.21,0.05,0.11,0.53,0.58,10,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.265,11,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.275,11,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.285,11,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.345,11,None,Little Dragon,
Only One,0,0.17,0.08,0.33,0.42,0.385,11,None,Little Dragon,
