name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
Be Above It,0.18,0,0,0.64,0.18,0.05,9,Happy,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.05,9,Happy,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.08,9,Happy,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.09,9,Happy,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.09,9,Happy,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.16,9,Happy,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.27,9,Happy,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.02,10,Happy,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.020001,10,Happy,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.03,10,Happy,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.06,10,Happy,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.11,10,Happy,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.11,10,Happy,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.18,10,Happy,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.29,10,Happy,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.02,11,Happy,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.03,11,Happy,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.05,11,Happy,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.06,11,Happy,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.11,11,Happy,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.11,11,Happy,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.18,11,Happy,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.29,11,Happy,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.01,12,Happy,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0.05,12,Happy,Tame Impala,
Alter Ego,0.08,0.23,0.46,0.15,0.08,0.05,12,Happy,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.05,12,Happy,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.09,12,Happy,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.13,12,Happy,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.16,12,Happy,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.27,12,Happy,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.03,13,Happy,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.11,13,Happy,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.18,13,Happy,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.29,13,Happy,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0,1,Surprise,Tame Impala,
Solitude Is Bliss,0.39,0.25,0,0.18,0.18,0.01,1,Surprise,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0.01,1,Surprise,Tame Impala,
Elephant,0.13,0.2,0.07,0.4,0.2,0.03,1,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,1,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.05,1,Surprise,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0.07,1,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.1,1,Surprise,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0,2,Surprise,Tame Impala,
Why Won't They Talk to Me?,0.41,0.12,0.06,0.29,0.12,0.02,2,Surprise,Tame Impala,
Island Walking,0.38,0.38,0,0.12,0.12,0.02,2,Surprise,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.02,2,Surprise,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.02,2,Surprise,Tame Impala,
Borderline,0.35,0.38,0.02,0.12,0.13,0.03,2,Surprise,Tame Impala,
Powerlines,0.35,0.38,0.02,0.12,0.13,0.03,2,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.03,2,Surprise,Tame Impala,
Solitude Is Bliss,0.39,0.25,0,0.18,0.18,0.08,2,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.11,2,Surprise,Tame Impala,
Solitude Is Bliss,0.39,0.25,0,0.18,0.18,0.01,3,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,3,Surprise,Tame Impala,
Borderline,0.35,0.38,0.02,0.12,0.13,0.04,3,Surprise,Tame Impala,
Powerlines,0.35,0.38,0.02,0.12,0.13,0.04,3,Surprise,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.09,3,Surprise,Tame Impala,
Keep on Lying,0.29,0.29,0,0.14,0.29,0.12,3,Surprise,Tame Impala,
Mind Mischief,0.27,0.27,0.06,0.06,0.33,0.16,3,Surprise,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.05,4,Surprise,Tame Impala,
Alter Ego,0.08,0.23,0.46,0.15,0.08,0.050001,4,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.08,4,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.09,4,Surprise,Tame Impala,
Keep on Lying,0.29,0.29,0,0.14,0.29,0.16,4,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.2,4,Surprise,Tame Impala,
Elephant,0.13,0.2,0.07,0.4,0.2,0.03,5,Surprise,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.0300001,5,Surprise,Tame Impala,
"New Person, Same Old Mistakes",0.04,0.2,0.11,0.46,0.2,0.0300001,5,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,5,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.05,5,Surprise,Tame Impala,
Mind Mischief,0.27,0.27,0.06,0.06,0.33,0.16,5,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.16,5,Surprise,Tame Impala,
"New Person, Same Old Mistakes",0.04,0.2,0.11,0.46,0.2,0,6,Surprise,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.03,6,Surprise,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.08,6,Surprise,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.12,6,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.13,6,Surprise,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.16,6,Surprise,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.03,7,Surprise,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.08,7,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.13,7,Surprise,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.16,7,Surprise,Tame Impala,
Sundown Syndrome,0.13,0.15,0.22,0.37,0.13,0.05,8,Surprise,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.06,8,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.11,8,Surprise,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.18,8,Surprise,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0,9,Surprise,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.02,9,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.03,9,Surprise,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.03,9,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.04,9,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.11,9,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.15,9,Surprise,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0.02,10,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.03,10,Surprise,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.03,10,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.04,10,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.11,10,Surprise,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.15,10,Surprise,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.15,10,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.15,10,Surprise,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.03,11,Surprise,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.030001,11,Surprise,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.04,11,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.11,11,Surprise,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.15,11,Surprise,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.15,11,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.15,11,Surprise,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.18,11,Surprise,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.01,12,Surprise,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.01,12,Surprise,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.02,12,Surprise,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.05,12,Surprise,Tame Impala,
Alter Ego,0.08,0.23,0.46,0.15,0.08,0.05,12,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.06,12,Surprise,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.2,12,Surprise,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.01,13,Surprise,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.02,13,Surprise,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.05,13,Surprise,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.06,13,Surprise,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.1,13,Surprise,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.1,13,Surprise,Tame Impala,
Let It Happen,0.4,0.25,0,0.25,0.1,0,1,Fear,Tame Impala,
Solitude Is Bliss,0.39,0.25,0,0.18,0.18,0.00001,1,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.00001,1,Fear,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.03,1,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,1,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.04,1,Fear,Tame Impala,
Elephant,0.13,0.2,0.07,0.4,0.2,0.05,1,Fear,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0.25,1,Fear,Tame Impala,
Solitude Is Bliss,0.39,0.25,0,0.18,0.18,0,2,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0,2,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,2,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.04,2,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.04,2,Fear,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.04,2,Fear,Tame Impala,
Why Won't They Talk to Me?,0.41,0.12,0.06,0.29,0.12,0.13,2,Fear,Tame Impala,
Island Walking,0.38,0.38,0,0.12,0.12,0.13,2,Fear,Tame Impala,
Borderline,0.35,0.38,0.02,0.12,0.13,0.13,2,Fear,Tame Impala,
Powerlines,0.35,0.38,0.02,0.12,0.13,0.13,2,Fear,Tame Impala,
Mind Mischief,0.27,0.27,0.06,0.06,0.33,0,3,Fear,Tame Impala,
Keep on Lying,0.29,0.29,0,0.14,0.29,0.02,3,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.02,3,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.02,3,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.02,3,Fear,Tame Impala,
Borderline,0.35,0.38,0.02,0.12,0.13,0.11,3,Fear,Tame Impala,
Powerlines,0.35,0.38,0.02,0.12,0.13,0.11,3,Fear,Tame Impala,
Alter Ego,0.08,0.23,0.46,0.15,0.08,0,4,Fear,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.01,4,Fear,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.01,4,Fear,Tame Impala,
Keep on Lying,0.29,0.29,0,0.14,0.29,0.06,4,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.06,4,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.06,4,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.06,4,Fear,Tame Impala,
Forty One Mosquitoes Flying in Formation,0.05,0.25,0.3,0.2,0.2,0,5,Fear,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0.03,5,Fear,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.03,5,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,5,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.04,5,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.04,5,Fear,Tame Impala,
Elephant,0.13,0.2,0.07,0.4,0.2,0.05,5,Fear,Tame Impala,
"New Person, Same Old Mistakes",0.04,0.2,0.11,0.46,0.2,0.05,5,Fear,Tame Impala,
Elephant,0.13,0.2,0.07,0.4,0.2,0,6,Fear,Tame Impala,
"New Person, Same Old Mistakes",0.04,0.2,0.11,0.46,0.2,0.00001,6,Fear,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.02,6,Fear,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.04,6,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.05,6,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.21,6,Fear,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.24,6,Fear,Tame Impala,
"New Person, Same Old Mistakes",0.04,0.2,0.11,0.46,0.2,0,7,Fear,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.02,7,Fear,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.04,7,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.05,7,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.21,7,Fear,Tame Impala,
Expectation,0.06,0.22,0.06,0.31,0.36,0.02,8,Fear,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.04,8,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.05,8,Fear,Tame Impala,
Sundown Syndrome,0.13,0.15,0.22,0.37,0.13,0.05,8,Fear,Tame Impala,
The Less I Know the Better,0.22,0.22,0.04,0.19,0.33,0,9,Fear,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.00001,9,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.03,9,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.07,9,Fear,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.09,9,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.19,9,Fear,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0.22,9,Fear,Tame Impala,
Music to Walk Home By,0.22,0.22,0.13,0.22,0.22,0.01,10,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0.02,10,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.06,10,Fear,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.08,10,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.18,10,Fear,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.45,10,Fear,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.45,10,Fear,Tame Impala,
Lost in Yesterday,0.14,0.25,0.04,0.5,0.07,0,11,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,11,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.04,11,Fear,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.06,11,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.16,11,Fear,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.43,11,Fear,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.43,11,Fear,Tame Impala,
Apocalypse Dreams,0.29,0.29,0,0.21,0.21,0.04,12,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0.040001,12,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.040001,12,Fear,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.040001,12,Fear,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.06,12,Fear,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.09,12,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.16,12,Fear,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.19,12,Fear,Tame Impala,
Be Above It,0.18,0,0,0.64,0.18,0.25,12,Fear,Tame Impala,
'Cause I'm a Man,0.25,0.29,0.04,0.33,0.08,0,13,Fear,Tame Impala,
It Is Not Meant to Be,0.25,0.29,0,0.29,0.17,0.0001,13,Fear,Tame Impala,
Reality in Motion,0,0.29,0.05,0.54,0.12,0.0001,13,Fear,Tame Impala,
Lucidity,0.08,0.31,0.23,0.23,0.15,0.02,13,Fear,Tame Impala,
Patience,0.09,0.41,0.05,0.23,0.23,0.12,13,Fear,Tame Impala,
Breathe Deeper,0.09,0.16,0.09,0.53,0.12,0.13,13,Fear,Tame Impala,
On Track,0.14,0.44,0.06,0.28,0.08,0.15,13,Fear,Tame Impala,
One More Year,0.13,0.68,0,0.16,0.03,0.39,13,Fear,Tame Impala,
One More Hour,0.13,0.68,0,0.16,0.03,0.39,13,Fear,Tame Impala,
Love Stained,0.1,0.24,0.08,0.37,0.2,0,1,Surprise,TV on the Radio,
Blues From Down Here,0.04,0.33,0.16,0.27,0.2,0.00001,1,Surprise,TV on the Radio,
Young Liars,0.07,0.3,0.1,0.33,0.2,0.00001,1,Surprise,TV on the Radio,
Crying,0.04,0.29,0.25,0.21,0.21,0.01,1,Surprise,TV on the Radio,
Red Dress,0.11,0.34,0.11,0.25,0.19,0.01,1,Surprise,TV on the Radio,
Hours,0.14,0.27,0.09,0.27,0.23,0.03,1,Surprise,TV on the Radio,
DLZ,0.12,0.37,0.08,0.21,0.23,0.03,1,Surprise,TV on the Radio,
Killer Crane,0.12,0.27,0.12,0.24,0.24,0.04,1,Surprise,TV on the Radio,
Million Miles,0.11,0.16,0.14,0.35,0.24,0.04,1,Surprise,TV on the Radio,
Trouble,0.09,0.13,0.07,0.47,0.24,0.04,1,Surprise,TV on the Radio,
Lover's Day,0.12,0.2,0.11,0.41,0.16,0.04,1,Surprise,TV on the Radio,
Shout Me Out,0.04,0.17,0.17,0.38,0.25,0.05,1,Surprise,TV on the Radio,
Dreams,0.15,0.33,0.07,0.3,0.15,0.05,1,Surprise,TV on the Radio,
Halfway Home,0.03,0.27,0.13,0.3,0.27,0.07,1,Surprise,TV on the Radio,
Snakes and Martyrs,0.12,0.28,0.09,0.38,0.12,0.08,1,Surprise,TV on the Radio,
Wear You Out,0.08,0.33,0.05,0.23,0.31,0.11,1,Surprise,TV on the Radio,
Wash the Day,0.12,0.35,0.16,0.29,0.08,0.12,1,Surprise,TV on the Radio,
Stork & Owl,0.09,0.38,0.09,0.38,0.06,0.14,1,Surprise,TV on the Radio,
The Wrong Way,0.03,0.26,0.09,0.29,0.34,0.14,1,Surprise,TV on the Radio,
The Wrong Way,0.03,0.26,0.09,0.29,0.34,0,2,Surprise,TV on the Radio,
Wolf Like Me,0.1,0.21,0.08,0.25,0.35,0.01,2,Surprise,TV on the Radio,
Bomb Yourself,0.19,0.25,0,0.25,0.31,0.03,2,Surprise,TV on the Radio,
Wear You Out,0.08,0.33,0.05,0.23,0.31,0.03,2,Surprise,TV on the Radio,
Halfway Home,0.03,0.27,0.13,0.3,0.27,0.07,2,Surprise,TV on the Radio,
Lazerray,0,0.24,0.08,0.26,0.42,0.08,2,Surprise,TV on the Radio,
A Method,0.06,0.24,0.21,0.24,0.26,0.08,2,Surprise,TV on the Radio,
Killer Crane,0.12,0.27,0.12,0.24,0.24,0.1,2,Surprise,TV on the Radio,
Hours,0.14,0.27,0.09,0.27,0.23,0.11,2,Surprise,TV on the Radio,
Young Liars,0.07,0.3,0.1,0.33,0.2,0.14,2,Surprise,TV on the Radio,
Killer Crane,0.12,0.27,0.12,0.24,0.24,0,3,Surprise,TV on the Radio,
Family Tree,0.05,0.24,0.02,0.45,0.24,0.00001,3,Surprise,TV on the Radio,
Million Miles,0.11,0.16,0.14,0.35,0.24,0.00001,3,Surprise,TV on the Radio,
Right Now,0.12,0.42,0,0.23,0.23,0.01,3,Surprise,TV on the Radio,
DLZ,0.12,0.37,0.08,0.21,0.23,0.01,3,Surprise,TV on the Radio,
Shout Me Out,0.04,0.17,0.17,0.38,0.25,0.01,3,Surprise,TV on the Radio,
A Method,0.06,0.24,0.21,0.24,0.26,0.02,3,Surprise,TV on the Radio,
Crying,0.04,0.29,0.25,0.21,0.21,0.03,3,Surprise,TV on the Radio,
Halfway Home,0.03,0.27,0.13,0.3,0.27,0.03,3,Surprise,TV on the Radio,
Blues From Down Here,0.04,0.33,0.16,0.27,0.2,0.04,3,Surprise,TV on the Radio,
Young Liars,0.07,0.3,0.1,0.33,0.2,0.04,3,Surprise,TV on the Radio,
Red Dress,0.11,0.34,0.11,0.25,0.19,0.05,3,Surprise,TV on the Radio,
Dancing Choose,0.08,0.41,0.14,0.08,0.29,0.05,3,Surprise,TV on the Radio,
New Cannonball Blues,0.15,0.23,0.16,0.15,0.31,0.07,3,Surprise,TV on the Radio,
Could You,0.24,0.27,0.12,0.22,0.14,0.1,3,Surprise,TV on the Radio,
Dry Drunk Emperor,0.12,0.24,0.14,0.4,0.1,0.14,3,Surprise,TV on the Radio,
Forgotten,0.35,0.29,0.1,0.19,0.06,0.18,3,Surprise,TV on the Radio,
Could You,0.24,0.27,0.12,0.22,0.14,0,4,Surprise,TV on the Radio,
Happy Idiot,0.14,0.35,0.19,0.19,0.14,0.00001,4,Surprise,TV on the Radio,
I Was a Lover,0.11,0.32,0,0.43,0.14,0.00001,4,Surprise,TV on the Radio,
Dreams,0.15,0.33,0.07,0.3,0.15,0.01,4,Surprise,TV on the Radio,
New Health Rock,0.12,0.15,0.15,0.42,0.15,0.01,4,Surprise,TV on the Radio,
Lover's Day,0.12,0.2,0.11,0.41,0.16,0.02,4,Surprise,TV on the Radio,
King Eternal,0.11,0.5,0.17,0.06,0.17,0.03,4,Surprise,TV on the Radio,
Dry Drunk Emperor,0.12,0.24,0.14,0.4,0.1,0.04,4,Surprise,TV on the Radio,
Staring at the Sun,0.02,0.54,0.12,0.22,0.1,0.04,4,Surprise,TV on the Radio,
Red Dress,0.11,0.34,0.11,0.25,0.19,0.05,4,Surprise,TV on the Radio,
Wash the Day,0.12,0.35,0.16,0.29,0.08,0.06,4,Surprise,TV on the Radio,
DLZ,0.12,0.37,0.08,0.21,0.23,0.09,4,Surprise,TV on the Radio,
Second Song,0.14,0.34,0.17,0.34,0,0.14,4,Surprise,TV on the Radio,
Tonight,0.31,0.21,0.1,0.21,0.17,0.005,5,Surprise,TV on the Radio,
King Eternal,0.11,0.5,0.17,0.06,0.17,0.0050001,5,Surprise,TV on the Radio,
Lover's Day,0.12,0.2,0.11,0.41,0.16,0.015,5,Surprise,TV on the Radio,
Red Dress,0.11,0.34,0.11,0.25,0.19,0.015,5,Surprise,TV on the Radio,
New Health Rock,0.12,0.15,0.15,0.42,0.15,0.025,5,Surprise,TV on the Radio,
Young Liars,0.07,0.3,0.1,0.33,0.2,0.025,5,Surprise,TV on the Radio,
Happy Idiot,0.14,0.35,0.19,0.19,0.14,0.035,5,Surprise,TV on the Radio,
I Was a Lover,0.11,0.32,0,0.43,0.14,0.035,5,Surprise,TV on the Radio,
Crying,0.04,0.29,0.25,0.21,0.21,0.035,5,Surprise,TV on the Radio,
Test Pilot,0.25,0.28,0,0.25,0.22,0.045,5,Surprise,TV on the Radio,
Snakes and Martyrs,0.12,0.28,0.09,0.38,0.12,0.055,5,Surprise,TV on the Radio,
Hours,0.14,0.27,0.09,0.27,0.23,0.055,5,Surprise,TV on the Radio,
DLZ,0.12,0.37,0.08,0.21,0.23,0.055,5,Surprise,TV on the Radio,
Dry Drunk Emperor,0.12,0.24,0.14,0.4,0.1,0.075,5,Surprise,TV on the Radio,
A Method,0.06,0.24,0.21,0.24,0.26,0.085,5,Surprise,TV on the Radio,
Forgotten,0.35,0.29,0.1,0.19,0.06,0.115,5,Surprise,TV on the Radio,
New Cannonball Blues,0.15,0.23,0.16,0.15,0.31,0.135,5,Surprise,TV on the Radio,
Wolf Like Me,0.1,0.21,0.08,0.25,0.35,0.175,5,Surprise,TV on the Radio,
Lazerray,0,0.24,0.08,0.26,0.42,0.245,5,Surprise,TV on the Radio,
Let the Devil In,0.11,0.14,0.08,0.19,0.47,0.295,5,Surprise,TV on the Radio,
Red Dress,0.11,0.34,0.11,0.25,0.19,0,6,Surprise,TV on the Radio,
Blues From Down Here,0.04,0.33,0.16,0.27,0.2,0.01,6,Surprise,TV on the Radio,
Young Liars,0.07,0.3,0.1,0.33,0.2,0.01,6,Surprise,TV on the Radio,
Crying,0.04,0.29,0.25,0.21,0.21,0.02,6,Surprise,TV on the Radio,
